,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
190,mocuba,MZ,2022-04-23 07:21:47,-16.8392,36.9856,85,92,77.35999999999999,3.07
191,tandil,AR,2022-04-23 07:20:06,-37.3217,-59.1332,44,58,55.958000000000006,5.81
192,luderitz,NA,2022-04-23 07:21:47,-26.6481,15.1594,0,58,68.39600000000004,12.12
193,dawlatabad,AF,2022-04-23 07:21:47,36.4141,64.9053,72,19,86.558,5.58
194,bilma,NE,2022-04-23 07:21:48,18.6853,12.9164,14,8,106.016,4.44
195,george,ZA,2022-04-23 07:21:48,-33.963,22.4617,40,72,62.41999999999996,3.6
196,booue,GA,2022-04-23 07:21:49,-0.0921,11.9385,99,91,78.22400000000002,1.17
197,woodstock,CA,2022-04-23 07:17:34,43.1334,-80.7497,100,74,46.88599999999997,3.44
198,port hawkesbury,CA,2022-04-23 07:21:49,45.6169,-61.3485,100,83,41.14399999999997,7.2
199,rajakhera,IN,2022-04-23 07:21:49,26.8961,78.1714,1,8,104.19800000000002,4.26
200,havre-saint-pierre,CA,2022-04-23 07:21:50,50.2334,-63.5986,100,54,29.03000000000004,7.2
201,khor,RU,2022-04-23 07:21:50,47.8861,134.9464,100,40,52.44800000000002,5
202,axim,GH,2022-04-23 07:21:50,4.8699,-2.2405,31,64,87.72799999999997,3.42
203,camacha,PT,2022-04-23 07:21:51,33.0833,-16.3333,75,59,60.49399999999997,6.17
204,huarmey,PE,2022-04-23 07:21:51,-10.0681,-78.1522,95,89,66.72200000000004,2.67
205,cabedelo,BR,2022-04-23 07:21:51,-6.9811,-34.8339,97,78,81.53599999999997,5.61
206,quime,BO,2022-04-23 07:21:52,-16.9833,-67.2167,74,32,55.66999999999996,0.54
207,laguna,US,2022-04-23 07:21:52,38.421,-121.4238,0,92,49.280000000000044,0
208,ladario,BR,2022-04-23 07:21:52,-19.0047,-57.6017,75,74,82.958,2.06
209,los llanos de aridane,ES,2022-04-23 07:21:53,28.6585,-17.9182,75,68,64.41799999999998,3.09
210,danville,US,2022-04-23 07:18:07,36.586,-79.395,0,92,58.55,2.06
211,oriximina,BR,2022-04-23 07:21:53,-1.7656,-55.8661,99,90,76.226,0.49
212,barhi,IN,2022-04-23 07:21:54,23.9,80.8,10,10,104.30600000000003,3.92
213,skegness,GB,2022-04-23 07:21:54,53.1436,0.3363,58,85,57.542,10.98
214,povenets,RU,2022-04-23 07:21:54,62.8487,34.8262,100,86,34.44800000000002,3.61
215,sjenica,RS,2022-04-23 07:21:55,43.2731,19.9994,57,55,58.1,4.71
216,vargashi,RU,2022-04-23 07:21:55,55.3556,65.8467,2,34,41.9,3.93
217,taoudenni,ML,2022-04-23 07:21:55,22.6783,-3.9836,55,8,90.23000000000005,4.39
218,itapira,BR,2022-04-23 07:21:55,-22.4361,-46.8217,3,56,73.36400000000003,3.11
219,hofn,IS,2022-04-23 07:21:56,64.2539,-15.2082,2,81,45.55399999999995,3.47
220,gari,RU,2022-04-23 07:21:56,59.4307,62.3497,86,44,43.30399999999995,2.76
221,mogadishu,SO,2022-04-23 07:21:57,2.0371,45.3438,75,70,89.74399999999997,6.17
222,bakchar,RU,2022-04-23 07:21:57,57.0186,82.0711,100,41,29.282000000000018,3.95
223,abu dhabi,AE,2022-04-23 07:17:49,24.4667,54.3667,0,33,93.48800000000006,6.17
224,inongo,CD,2022-04-23 07:21:57,-1.95,18.2667,100,92,74.67799999999997,1.62
225,paamiut,GL,2022-04-23 07:21:58,61.994,-49.6678,100,96,35.15,4.05
226,kapustin yar-1,,,,,,,,
227,souillac,MU,2022-04-23 07:21:58,-20.5167,57.5167,40,69,79.44800000000004,6.69
228,sargodha,PK,2022-04-23 07:21:58,32.0836,72.6711,1,12,99.71600000000001,2.05
229,kurtamysh,RU,2022-04-23 07:21:59,54.9103,64.4319,5,30,46.30999999999998,3.83
230,ginda,IN,2022-04-23 07:21:59,30.6945,78.4932,32,16,76.64000000000001,3.95
231,astaneh-ye ashrafiyeh,IR,2022-04-23 07:21:59,37.2596,49.9444,0,52,69.99800000000002,4.19
232,saint anthony,US,2022-04-23 07:22:00,45.0205,-93.218,0,88,64.74199999999999,6.69
233,bogotol,RU,2022-04-23 07:22:00,56.2078,89.5342,100,46,28.508000000000003,4.54
234,camana,PE,2022-04-23 07:22:00,-16.6228,-72.7111,80,81,68.342,2.71
235,cockburn town,TC,2022-04-23 07:22:01,21.4612,-71.1419,100,74,77.05399999999995,8.05
236,pisco,PE,2022-04-23 07:22:01,-13.7,-76.2167,100,94,63.28399999999999,2.06
237,aquiraz,BR,2022-04-23 07:22:01,-3.9014,-38.3911,97,87,75.55999999999997,4.46
238,nyeri,KE,2022-04-23 07:22:02,-0.4201,36.9476,99,72,70.43000000000004,2.77
239,quatre cocos,MU,2022-04-23 07:22:02,-20.2078,57.7625,48,70,79.358,8.29
240,svetlogorsk,BY,2022-04-23 07:22:02,52.6333,29.7333,100,86,47.372000000000035,5.06
241,bandarbeyla,SO,2022-04-23 07:22:03,9.4942,50.8122,8,62,87.11600000000001,5.96
242,dzhusaly,,,,,,,,
243,tarudant,,,,,,,,
244,takoradi,GH,2022-04-23 07:22:03,4.8845,-1.7554,35,65,87.31400000000004,3.48
245,la macarena,CO,2022-04-23 07:22:04,2.1837,-73.7849,92,92,73.68800000000005,1.44
246,concepcion,CL,2022-04-23 07:18:26,-36.827,-73.0498,100,100,57.272000000000034,5.66
247,esil,KZ,2022-04-23 07:22:04,51.9556,66.4042,9,26,53.41999999999996,5.84
248,pilikwe,BW,2022-04-23 07:22:05,-22.799,27.1938,27,40,79.08800000000005,2.36
249,babanusah,,,,,,,,
250,sorvag,,,,,,,,
251,ekibastuz,KZ,2022-04-23 07:22:05,51.6667,75.3667,1,30,46.814000000000036,7.04
252,aksu,CN,2022-04-23 07:19:17,41.1231,80.2644,49,18,80.13200000000002,1.58
253,port victoria,KE,2022-04-23 07:22:05,0.0939,33.9756,91,64,76.87400000000002,3.03
254,dingle,PH,2022-04-23 07:22:06,10.9995,122.6711,6,80,79.592,2.77
255,turayf,SA,2022-04-23 07:22:06,31.6725,38.6637,75,22,88.32200000000003,15.43
256,mandera,KE,2022-04-23 07:22:06,3.9366,41.867,97,32,96.692,2.98
257,saryozek,KZ,2022-04-23 07:22:07,44.3583,77.9753,86,36,70.358,4.02
258,riaba,,,,,,,,
259,kabo,CF,2022-04-23 07:22:07,7.6994,18.629,76,28,102.092,1.18
260,diu,IN,2022-04-23 07:22:07,20.7141,70.9822,2,40,92.24600000000005,6.08
261,jacqueville,CI,2022-04-23 07:22:08,5.2052,-4.4146,68,78,82.30999999999997,2.66
262,taltal,CL,2022-04-23 07:22:08,-25.4,-70.4833,33,81,62.86999999999996,0.73
263,amparai,,,,,,,,
264,berlevag,NO,2022-04-23 07:22:08,70.8578,29.0864,100,97,37.47200000000004,11.48
265,gamba,GA,2022-04-23 07:22:09,-2.65,10,97,67,84.93800000000005,3.12
266,skole,UA,2022-04-23 07:22:09,49.0372,23.5135,100,97,42.04399999999997,1.56
267,keti bandar,PK,2022-04-23 07:22:09,24.1447,67.4497,11,61,86.73800000000006,5.93
268,mantua,IT,2022-04-23 07:22:09,45.1667,10.7833,51,68,68.61199999999997,3.13
269,muravlenko,RU,2022-04-23 07:22:10,63.7898,74.523,99,83,17.798000000000023,4.88
270,pakpattan,PK,2022-04-23 07:22:10,30.341,73.3866,20,9,102.55999999999999,5.06
271,tudela,ES,2022-04-23 07:22:10,42.0617,-1.6045,100,48,54.76999999999996,12.9
272,benghazi,LY,2022-04-23 07:22:11,32.1167,20.0667,0,61,67.69399999999997,8.85
273,kouroussa,GN,2022-04-23 07:22:11,10.65,-9.8833,86,23,103.06400000000004,1.24
274,berberati,CF,2022-04-23 07:22:11,4.2612,15.7922,97,51,86.43200000000002,0.98
275,san cristobal,VE,2022-04-23 07:22:12,7.7669,-72.225,83,82,64.85,1.79
276,chernyshkovskiy,RU,2022-04-23 07:22:12,48.4219,42.2308,93,51,62.74399999999997,1.94
277,seydi,TM,2022-04-23 07:22:12,39.4816,62.9137,92,23,84.05600000000004,5.59
278,ilulissat,GL,2022-04-23 07:22:12,69.2167,-51.1,75,86,26.888000000000044,0
279,havelock,US,2022-04-23 07:20:07,34.8791,-76.9013,0,89,68.21600000000001,1.73
280,kutum,SD,2022-04-23 07:22:13,14.2,24.6667,53,9,94.92799999999997,3.66
281,spas-demensk,RU,2022-04-23 07:22:13,54.4122,34.0226,98,59,55.30999999999998,4.22
282,wageningen,NL,2022-04-23 07:22:13,51.9667,5.6667,20,50,67.29800000000003,8.75
283,chipinge,ZW,2022-04-23 07:22:14,-20.1883,32.6236,55,77,70.39399999999998,2.22
284,mahebourg,MU,2022-04-23 07:22:14,-20.4081,57.7,40,69,79.51999999999995,6.69
285,vagay,RU,2022-04-23 07:22:14,57.9375,69.0217,23,43,34.75399999999995,2.67
286,hare bay,CA,2022-04-23 07:22:15,48.8499,-54.0148,100,87,38.82200000000004,4.13
287,olafsvik,IS,2022-04-23 07:22:15,64.8945,-23.7142,57,87,46.30999999999998,3.09
288,gweta,BW,2022-04-23 07:22:15,-20.1833,25.2333,34,45,76.892,4.74
289,maniitsoq,GL,2022-04-23 07:22:16,65.4167,-52.9,100,92,33.09800000000003,3.08
290,lamu,KE,2022-04-23 07:22:16,-2.2717,40.902,28,66,91.88599999999997,5.01
291,abnub,EG,2022-04-23 07:22:16,27.2696,31.1511,0,9,90.51799999999999,5.55
292,castelnaudary,FR,2022-04-23 07:22:17,43.3183,1.9545,100,85,55.958000000000006,9.79
293,palaion ayionerion,,,,,,,,
294,boqueirao,BR,2022-04-23 07:18:59,-7.5,-36.1333,93,59,80.41999999999996,5.29
295,mosjoen,NO,2022-04-23 07:22:17,65.836,13.1908,0,37,52.592,2.06
296,synya,RU,2022-04-23 07:22:17,65.3718,58.0387,84,70,32.917999999999985,1.25
